,Unnamed: 0,transmission_line_id,circuit_id,province,operating_region,owner,number_of_circuits,current,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage_in_kv,reactance_in_ohm,summer_ampacity,winter_ampacity,summer_rating_in_mva,winter_rating_in_mva,power_factor,smax,summer_capacity_in_mw,winter_capacity_in_mw,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes,sources
0,0,10676,15M1,ON,Ontario,HONI,1,ac,0.1,0.062,3.1,1.914,115,,,,,,,3.0,98,108,,ON_KNM_JCT,,ON_KNM_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
1,1,10677,15M1,ON,Ontario,HONI,1,ac,3.0,1.852,3.1,1.914,115,,,,,,,3.0,98,108,,ON_RBL_SWS,,ON_KNM_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
2,2,10678,29M1,ON,Ontario,HONI,1,ac,0.1,0.062,72.3,44.63,115,,,,,,,3.0,98,108,,ON_AGM_JCT,,ON_AGM_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
3,3,10679,29M1,ON,Ontario,HONI,1,ac,6.0,3.704,72.3,44.63,115,,,,,,,3.0,98,108,,ON_CPL_JCT,,ON_AGM_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
4,4,10680,29M1,ON,Ontario,HONI,1,ac,45.0,27.778,72.3,44.63,115,,,,,,,3.0,98,108,,ON_CPL_JCT,,ON_VLA_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
5,5,10681,29M1,ON,Ontario,HONI,1,ac,6.0,3.704,72.3,44.63,115,,,,,,,3.0,98,108,,ON_IGD_JCT,,ON_CPL_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
6,6,10682,29M1,ON,Ontario,HONI,1,ac,0.1,0.062,72.3,44.63,115,,,,,,,3.0,98,108,,ON_IGN_JCT,,ON_IGD_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
7,7,10683,29M1,ON,Ontario,HONI,1,ac,15.0,9.259,72.3,44.63,115,,,,,,,3.0,98,108,,ON_VLA_JCT,,ON_MTB_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
8,8,10684,29M1,ON,Ontario,HONI,1,ac,0.1,0.062,72.3,44.63,115,,,,,,,3.0,98,108,,ON_VLA_JCT,,ON_VLA_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
9,9,10685,3024F2,ON,Ontario,HONI,1,ac,12.0,7.407,12.0,7.407,115,,,,,,,3.0,98,108,,ON_TSD_JCT,,ON_PAM_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
10,10,10686,56M1,ON,Ontario,HONI,1,ac,5.6,3.457,5.7,3.519,115,,,,,,,3.0,98,108,,ON_NIP_JCT,,ON_RRK_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
11,11,10687,56M1,ON,Ontario,HONI,1,ac,0.1,0.062,5.7,3.519,115,,,,,,,3.0,98,108,,ON_RRK_JCT,,ON_RRK_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
12,12,10688,57M1,ON,Ontario,HONI,1,ac,0.1,0.062,4.8,2.963,115,,,,,,,3.0,98,108,,ON_NIP_JCT,,ON_NIP_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
13,13,10689,57M1,ON,Ontario,HONI,1,ac,4.7,2.901,4.8,2.963,115,,,,,,,3.0,98,108,,ON_RSV_JCT,,ON_NIP_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
14,14,10690,61M18,ON,Ontario,HONI,1,ac,20.0,12.346,37.0,22.84,115,,,,,,,3.0,98,108,,ON_GOD_DSS,,ON_CNC_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
15,15,10691,61M18,ON,Ontario,HONI,1,ac,17.0,10.494,37.0,22.84,115,,,,,,,3.0,98,108,,ON_CNC_DSS,,ON_SFT_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
16,16,10692,79M1,ON,Ontario,HONI,1,ac,11.1,6.852,66.3,40.926,115,,,,,,,3.0,98,108,,ON_GAM_JCT,,ON_RKL_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
17,17,10693,79M1,ON,Ontario,HONI,1,ac,1.2,0.741,66.3,40.926,115,,,,,,,3.0,98,108,,ON_RKL_JCT,,ON_RKL_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
18,18,10694,79M1,ON,Ontario,HONI,1,ac,2.2,1.358,66.3,40.926,115,,,,,,,3.0,98,108,,ON_RKL_JCT,,ON_RKE_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
19,19,10695,79M1,ON,Ontario,HONI,2,ac,0.1,0.062,66.3,40.926,115,,,,,,,3.0,98,108,,ON_RKE_JCT,,ON_RKE_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
20,20,10696,79M1,ON,Ontario,HONI,1,ac,2.3,1.42,66.3,40.926,115,,,,,,,3.0,98,108,,ON_RKE_JCT,,ON_CLC_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
21,21,10697,79M1,ON,Ontario,HONI,1,ac,7.1,4.383,66.3,40.926,115,,,,,,,3.0,98,108,,ON_CLC_DSS,,ON_WEN_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
22,22,10698,79M1,ON,Ontario,HONI,1,ac,0.1,0.062,66.3,40.926,115,,,,,,,3.0,98,108,,ON_WEN_JCT,,ON_WEN_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
23,23,10699,79M1,ON,Ontario,HONI,1,ac,35.2,21.728,66.3,40.926,115,,,,,,,3.0,98,108,,ON_WEN_JCT,,ON_CSB_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
24,24,10700,79M1,ON,Ontario,HONI,1,ac,7.0,4.321,66.3,40.926,115,,,,,,,3.0,98,108,,ON_CSB_JCT,,ON_HWK_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
25,25,10701,A1B,ON,Ontario,HONI,1,ac,4.6,2.84,4.8,2.963,115,,,,,,,3.0,98,108,,ON_AGU_SWS,,ON_TRB_SWS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
26,26,10702,A1B,ON,Ontario,HONI,1,ac,0.1,0.062,4.8,2.963,115,,,,,,,3.0,98,108,,ON_AVT_JCT,,ON_AVT_ISS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
27,27,10703,A1B,ON,Ontario,HONI,1,ac,0.1,0.062,4.8,2.963,115,,,,,,,3.0,98,108,,ON_AVT_JCT,,ON_TRB_SWS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
28,28,10704,A1T,ON,Ontario,HONI,1,ac,8.0,4.938,29.1,17.963,115,,,,,,,3.0,98,108,,ON_ALL_TSS,,ON_MIC_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
29,29,10705,A1T,ON,Ontario,HONI,1,ac,6.0,3.704,29.1,17.963,115,,,,,,,3.0,98,108,,ON_MIC_JCT,,ON_CRL_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
30,30,10706,A1T,ON,Ontario,HONI,1,ac,0.1,0.062,29.1,17.963,115,,,,,,,3.0,98,108,,ON_CRL_JCT,,ON_ASW_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
31,31,10707,A1T,ON,Ontario,HONI,1,ac,13.0,8.025,29.1,17.963,115,,,,,,,3.0,98,108,,ON_MIC_JCT,,ON_MTR_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
32,32,10708,A1T,ON,Ontario,HONI,1,ac,1.0,0.617,29.1,17.963,115,,,,,,,3.0,98,108,,ON_MTR_JCT,,ON_TOT_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
33,33,10709,A1T,ON,Ontario,HONI,2,ac,1.0,0.617,29.1,17.963,115,,,,,,,3.0,98,108,,ON_TOT_JCT,,ON_NIT_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
34,34,10710,A2,ON,Ontario,HONI,1,ac,2.6,1.605,13.1,8.086,115,,,,,,,3.0,98,108,,ON_HWT_TSS,,ON_BLB_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
35,35,10711,A2,ON,Ontario,HONI,1,ac,0.4,0.247,13.1,8.086,115,,,,,,,3.0,98,108,,ON_BLB_JCT,,ON_CYR_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
36,36,10712,A2,ON,Ontario,HONI,1,ac,0.1,0.062,13.1,8.086,115,,,,,,,3.0,98,108,,ON_CYR_JCT,,ON_CYV_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
37,37,10713,A2,ON,Ontario,HONI,1,ac,1.6,0.988,13.1,8.086,115,,,,,,,3.0,98,108,,ON_CYR_JCT,,ON_CYV_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
38,38,10714,A2,ON,Ontario,HONI,1,ac,6.2,3.827,13.1,8.086,115,,,,,,,3.0,98,108,,ON_CYV_JCT,,ON_BBC_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
39,39,10715,A2,ON,Ontario,HONI,1,ac,0.1,0.062,13.1,8.086,115,,,,,,,3.0,98,108,,ON_BBC_JCT,,ON_BBC_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
40,40,10716,A2,ON,Ontario,HONI,1,ac,2.0,1.235,13.1,8.086,115,,,,,,,3.0,98,108,,ON_CYV_JCT,,ON_NRS_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
41,41,10717,A2,ON,Ontario,HONI,1,ac,0.1,0.062,13.1,8.086,115,,,,,,,3.0,98,108,,ON_NRS_JCT,,ON_NRC_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
42,42,10718,A21L,ON,Ontario,HONI,1,ac,191.8,118.395,191.8,118.395,230,,,,,,,1.82,244,264,,ON_MKZ_TSS,,ON_LKH_TSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
43,43,10719,A22L,ON,Ontario,HONI,1,ac,191.8,118.395,191.8,118.395,230,,,,,,,1.82,244,264,,ON_MKZ_TSS,,ON_LKH_TSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
44,44,10720,A23P,ON,Ontario,HONI,1,ac,65.0,40.123,65.0,40.123,230,,,,,,,3.0,402,435,,ON_ALG_TSS,,ON_MSS_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
45,45,10721,A24P,ON,Ontario,HONI,1,ac,65.0,40.123,65.0,40.123,230,,,,,,,3.0,402,435,,ON_ALG_TSS,,ON_MSS_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
46,46,10722,A36N,ON,Ontario,HONI,1,ac,4.5,2.778,9.6,5.926,115,,,,,,,3.0,98,108,,ON_ALL_TSS,,ON_KLR_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
47,47,10723,A36N,ON,Ontario,HONI,1,ac,0.1,0.062,9.6,5.926,115,,,,,,,3.0,98,108,,ON_KLR_JCT,,ON_KLR_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
48,48,10724,A36N,ON,Ontario,HONI,1,ac,4.0,2.469,9.6,5.926,115,,,,,,,3.0,98,108,,ON_KLR_JCT,,ON_MRY_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
49,49,10725,A36N,ON,Ontario,HONI,1,ac,1.0,0.617,9.6,5.926,115,,,,,,,3.0,98,108,,ON_MRY_DSS,,ON_S11_SWS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
50,50,10726,A37N,ON,Ontario,HONI,1,ac,4.5,2.778,9.6,5.926,115,,,,,,,3.0,98,108,,ON_ALL_TSS,,ON_KLR_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
