transmission_line_id,circuit_id,province,operating_region,owner,number_of_circuits,current,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage_in_kv,reactance_in_ohm,summer_ampacity,winter_ampacity,summer_rating_in_mva,winter_rating_in_mva,power_factor,smax,summer_capacity_in_mw,winter_capacity_in_mw,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes,sources
15361,197L,AB,Alberta,"Altalink Management Ltd.",1,ac,14.000,8.642,14.000,8.642,144,NULL,NULL,NULL,NULL,1,3.00,NULL,154,170,NULL,AB_928S_DSS,NULL,AB_349S_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:19, reactance:24, smax:None, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:None, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15362,199L,AB,Alberta,"Altalink Management Ltd.",1,ac,18.000,11.111,53.000,32.716,138,NULL,NULL,119,146,1,NULL,NULL,107,131,NULL,AB_347S_DSS,NULL,AB_259S_JCT,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15363,199L,AB,Alberta,"Altalink Management Ltd.",1,ac,35.000,21.605,53.000,32.716,144,NULL,NULL,NULL,NULL,1,3.00,NULL,154,170,NULL,AB_259S_JCT,NULL,AB_268S_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:19, reactance:24, smax:None, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:None, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15364,199AL,AB,Alberta,"Altalink Management Ltd.",1,ac,10.000,6.173,10.000,6.173,144,NULL,NULL,NULL,NULL,1,3.00,NULL,154,170,NULL,AB_259S_JCT,NULL,AB_259S_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:19, reactance:24, smax:None, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:None, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15365,2.80L,AB,Alberta,"ENMAX Power Corporation",1,ac,7.650,4.722,7.650,4.722,138,NULL,NULL,285,350,1,NULL,NULL,257,315,NULL,AB_SS02_DSS,NULL,AB_SS23_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15366,2.81L,AB,Alberta,"ENMAX Power Corporation",1,ac,11.050,6.821,11.050,6.821,138,NULL,NULL,287,287,1,NULL,NULL,258,258,NULL,AB_SS02_DSS,NULL,AB_SS09_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15367,2.82L,AB,Alberta,"ENMAX Power Corporation",1,ac,5.950,3.673,5.950,3.673,138,NULL,NULL,322,349,1,NULL,NULL,290,314,NULL,AB_SS02_DSS,NULL,AB_SS05_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15368,2.83L,AB,Alberta,"ENMAX Power Corporation",1,ac,4.000,2.469,9.000,5.556,138,NULL,NULL,287,287,1,NULL,NULL,258,258,NULL,AB_SS02_DSS,NULL,AB_SS05_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15369,2.83L,AB,Alberta,"ENMAX Power Corporation",1,ac,5.000,3.086,9.000,5.556,138,NULL,NULL,338,354,1,NULL,NULL,304,319,NULL,AB_SS05_DSS,NULL,AB_SS13_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15370,20.82L,AB,Alberta,"ENMAX Power Corporation",1,ac,5.100,3.148,5.100,3.148,138,NULL,NULL,160,191,1,NULL,NULL,144,172,NULL,AB_SS21_DSS,NULL,AB_SS20_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
