name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
Wintering Hills 804S,AB_804S_DSS,DSS,ATCO Electric Ltd.,AB,51.249106,-112.541417,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Jasper 805S,AB_805S_DSS,DSS,EPCOR,AB,53.549505,-113.616749,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Louise Creek 809S,AB_809S_DSS,DSS,ATCO Electric Ltd.,AB,54.6139,-115.567253,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Dome Cutbank 810S,AB_810S_DSS,DSS,ATCO Electric Ltd.,AB,54.399687,-118.82675,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Clairmont Lake 811S,AB_811S_DSS,DSS,ATCO Electric Ltd.,AB,55.259752,-118.678448,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Norcen 812S,AB_812S_DSS,DSS,ATCO Electric Ltd.,AB,56.526395,-116.055472,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Little Smoky 813S,AB_813S_DSS,DSS,ATCO Electric Ltd.,AB,54.941979,-117.202936,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bellamy 814S,AB_814S_DSS,DSS,EPCOR,AB,53.530046,-113.499495,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Goodfare 815S,AB_815S_DSS,DSS,ATCO Electric Ltd.,AB,55.286149,-119.61407,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Petrolia 816S,AB_816S_DSS,DSS,EPCOR,AB,53.462193,-113.562297,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Winefred 818S,AB_818S_DSS,DSS,Altalink Management Ltd.,AB,55.353181,-111.05276,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Whitby Lake 819S,AB_819S_DSS,DSS,ATCO Electric Ltd.,AB,54.165386,-111.925484,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Hangingstone 820S,AB_820S_DSS,DSS,ATCO Electric Ltd.,AB,56.623741,-111.342454,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Sundance 821S,AB_821S_DSS,DSS,Altalink Management Ltd.,AB,53.508502,-114.552084,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Wolf Lake 822S,AB_822S_DSS,DSS,ATCO Electric Ltd.,AB,54.688681,-110.743659,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Wapiti 823S,AB_823S_DSS,DSS,ATCO Electric Ltd.,AB,54.959164,-119.192816,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Fieldgate 824S,AB_824S_DSS,DSS,ATCO Electric Ltd.,AB,54.516664,-115.504711,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Whitefish Lake 825S,AB_825S_DSS,DSS,ATCO Electric Ltd.,AB,54.412237,-111.750944,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Marguerite Lake 826S,AB_826S_DSS,DSS,ATCO Electric Ltd.,AB,54.586261,-110.810573,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Cranberry Lake 827S,AB_827S_DSS,DSS,ATCO Electric Ltd.,AB,56.249549,-115.355198,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Sulphur Point 828S,AB_828S_DSS,DSS,ATCO Electric Ltd.,AB,58.587978,-118.914625,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Boucher Creek 829S,AB_829S_DSS,DSS,ATCO Electric Ltd.,AB,55.998976,-118.534454,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Carmon 830S,AB_830S_DSS,DSS,ATCO Electric Ltd.,AB,56.387718,-116.809468,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Blumenort 832S,AB_832S_DSS,DSS,ATCO Electric Ltd.,AB,58.368945,-116.204191,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Mariana 833S,AB_833S_DSS,DSS,ATCO Electric Ltd.,AB,55.984125,-111.979199,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Wesley Creek 834S,AB_834S_DSS,DSS,ATCO Electric Ltd.,AB,56.277074,-116.975322,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Steepbank River 836S,AB_836S_DSS,DSS,Suncor,AB,57.00114,-111.485174,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Mahihkan 837S,AB_837S_DSS,DSS,ATCO Electric Ltd.,AB,54.626994,-110.55396,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Taber 83S,AB_83S_DSS,DSS,Altalink Management Ltd.,AB,49.815607,-112.156154,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Long Lake 841S,AB_841S_DSS,DSS,ATCO Electric Ltd.,AB,56.406271,-110.951696,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Big Knife Creek 843S,AB_843S_DSS,DSS,ATCO Electric Ltd.,AB,52.467918,-112.133048,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Big Mountain 845S,AB_845S_DSS,DSS,ATCO Electric Ltd.,AB,55.060461,-118.735742,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Grand Centre 846S,AB_846S_DSS,DSS,ATCO Electric Ltd.,AB,54.409889,-110.236265,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Ruth Lake 848S,AB_848S_DSS,DSS,ATCO Electric Ltd.,AB,56.985236,-111.547986,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Joslyn Creek 849S,AB_849S_DSS,DSS,ATCO Electric Ltd.,AB,57.304377,-111.873433,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Morse River 851S,AB_851S_DSS,DSS,ATCO Electric Ltd.,AB,54.573116,-115.516728,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Round Hill 852S,AB_852S_DSS,DSS,Altalink Management Ltd.,AB,55.301562,-111.995319,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Ring Creek 853S,AB_853S_DSS,DSS,ATCO Electric Ltd.,AB,57.742503,-119.991961,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Swandive 854S,AB_854S_DSS,DSS,ATCO Electric Ltd.,AB,54.765751,-115.44278,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Hamburg 855S,AB_855S_DSS,DSS,ATCO Electric Ltd.,AB,57.365198,-119.75551,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Kinosis 856S,AB_856S_DSS,DSS,ATCO Electric Ltd.,AB,56.304591,-110.950917,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Kakwa Ridge 857S,AB_857S_DSS,DSS,ATCO Electric Ltd.,AB,54.124652,-118.873912,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Narrows Creek 858S,AB_858S_DSS,DSS,ATCO Electric Ltd.,AB,55.610471,-114.971055,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Crow 860S,AB_860S_DSS,DSS,ATCO Electric Ltd.,AB,55.73725,-112.207077,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Eureka River 861S,AB_861S_DSS,DSS,ATCO Electric Ltd.,AB,56.422923,-119.004065,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
South Bezanson 862S,AB_862S_DSS,DSS,ATCO Electric Ltd.,AB,55.222054,-118.357955,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Sundance Blow-Down 867S,AB_867S_DSS,DSS,Altalink Management Ltd.,AB,53.472196,-114.529735,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Seal Lake 869S,AB_869S_DSS,DSS,ATCO Electric Ltd.,AB,56.26776,-116.113889,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bigstone 86S,AB_86S_DSS,DSS,Altalink Management Ltd.,AB,53.019004,-113.485876,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Marion Lake 873S,AB_873S_DSS,DSS,ATCO Electric Ltd.,AB,52.288467,-112.529252,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Algar 875S,AB_875S_DSS,DSS,ATCO Electric Ltd.,AB,56.29967,-111.736421,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Brintnell 876S,AB_876S_DSS,DSS,ATCO Electric Ltd.,AB,56.153892,-113.463393,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Kidney Lake 878S,AB_878S_DSS,DSS,ATCO Electric Ltd.,AB,56.876434,-114.80876,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
