name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
Temcell,QC_TMC_ISS,ISS,"Hydro Québec",QC,46.714687,-79.092494,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Templeton,QC_TMP_DSS,DSS,"Hydro Québec",QC,45.509476,-75.587772,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Trenche,QC_TRC_GSS,GSS,"Hydro Québec",QC,47.751591,-72.879396,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Touraine,QC_TRN_DSS,DSS,"Hydro Québec",QC,45.492886,-75.702355,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Trois-Pistoles,QC_TRP_DSS,DSS,"Hydro Québec",QC,48.109749,-69.141617,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Trois-Rivières,QC_TRR_SWS,SWS,"Hydro Québec",QC,46.364470,-72.601763,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Usine Alma",QC_UAL_ISS,ISS,"Hydro Québec",QC,48.583205,-71.685872,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Usine Beauharnois Alcan",QC_UBA_ISS,ISS,"Hydro Québec",QC,45.307993,-73.896788,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Uniboard Canada Inc",QC_UCI_ISS,ISS,"Hydro Québec",QC,48.554359,-67.659087,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Usine Jonquière",QC_UJQ_DSS,DSS,RTA,QC,48.432744,-71.162863,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ville de Joliette",QC_VDJ_DSS,DSS,"Hydro Québec",QC,46.023732,-73.423798,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ville de Magog",QC_VDM_DSS,DSS,"Hydro Québec",QC,45.274014,-72.121252,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Val d'Or",QC_VDO_DSS,DSS,"Hydro Québec",QC,48.116903,-77.797741,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Vaudreuil-Soulanges,QC_VDS_DSS,DSS,"Hydro Québec",QC,45.413078,-74.133586,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Vignan,QC_VGN_TSS,TSS,"Hydro Québec",QC,45.496135,-75.702082,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Viger,QC_VIG_SWS,SWS,"Hydro Québec",QC,45.487957,-73.544175,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Valleyfield,QC_VLF_DSS,DSS,"Hydro Québec",QC,45.251243,-74.110932,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Villeroy,QC_VLL_DSS,DSS,"Hydro Québec",QC,46.383215,-71.882715,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Varennes,QC_VRN_DSS,DSS,"Hydro Québec",QC,45.703101,-73.404992,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ville de Saguenay",QC_VSA_DSS,DSS,"Hydro Québec",QC,48.421237,-71.201106,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
