bus,Total Capacity,Max Demand,Capacity/Demand
BENALTO17S,15356.956479107632,46.5133887555659,330.1620649445797
SAGITAWAH77S,12973.60436178135,40.3640553147395,321.41478998131925
SUNNYBROOK510S,14906.273712986851,46.5133887555659,320.4727522933519
KEEPHILLS320P,14906.273712986851,65.28456897979208,228.32767292376363
HEARTLAND12S,47756.360273942264,274.05388208912154,174.25901764242124
BANNERMAN681S,14247.350540552714,87.05530445761164,163.6586148232924
CHERHILL338S,9921.180093889085,65.28456897979208,151.96822540040122
BICKERDIKE39S,7892.263153363279,65.28456897979208,120.8901778275693
SUNDANCE310P,15569.511294694648,144.42575485034814,107.80287290745025
AMELIA108S,9061.573668619749,87.05530445761164,104.08985098698894
BRINTNELL876S,6065.993009596961,61.77305218529334,98.19804583075347
MITSUE732S,7188.258148943876,87.05530445761164,82.57116776202801
WESLEYCREEK834S,4133.889407239181,61.77305218529334,66.92059500053908
LEISMER72S,4283.920056169167,65.96257812538809,64.94470316223654
LOUISECREEK809S,8172.9099501227665,127.41935977235114,64.14182244146085
WHITEFISHLAKE825S,11128.577270977526,186.99857763150987,59.511561060677955
LIVOCK939S,3615.6244385947807,61.77305218529334,58.53077208730789
WABAMUN19S,8070.004630782271,152.33987343740372,52.97368606583638
WABASCA720S,3013.568741704695,61.77305218529334,48.784520678454555
HEARTLAKE898S,11128.577270977528,252.96115575689797,43.993225907270805
GENESEE330,10033.665963160245,261.56175303180225,38.36060068744184
HEATHFIELD2029S,44069.174733477994,1304.9309038546276,33.7712706498883
KETTLERIVER2049S,2067.00360235778,65.96257812538809,31.336003854012773
NORTHBARRHEAD69S,2028.9169405258053,102.13710750003284,19.8646406794431
MCMILLAN885S,2067.00360235778,127.73563031068143,16.18188752292816
DEERLAND13S,18531.27059672188,1217.875599397016,15.216061973732721
DOME,16765.22556576052,1217.875599397016,13.765958997832925
JASPER805S,15472.697956526623,1217.875599397016,12.70466208879407
NEWELL2075S89S,29821.824192925276,3123.84177426302,9.546521990525871
ELLERSLIE89S,20590.227377032214,2173.061659346478,9.47521543554566
ROUNDHILL852S,2067.00360235778,252.96115575689797,8.171229278949937
EASTEDMONTON38S,8872.962412397243,1217.875599397016,7.285606524008156
CLOVERBAR987S,8872.962412397243,1217.875599397016,7.285606524008156
PETROLIA,9050.703889816234,1264.388988152582,7.158164120869444
LAMOUREUX71S,7580.434803163344,1217.875599397016,6.2243096149692985
LANGDON102S,32274.822753403536,5202.972421021547,6.203150841815672
LITTLESMOKY813S,8076.096611954741,1381.8949716008635,5.844218828438853
JOSEPHBURG410S,6844.6572148083615,1760.867982937332,3.8870927753429187
EASTCALGARY5S,7325.606310304868,3340.516736417152,2.1929560269654256
SARCEE42S,4934.6077498266095,3545.3864939671957,1.391839157232449
CROSSINGS511S,3923.2676471311506,3545.3864939671957,1.1065839094854553
BENNETT520S,2452.9985604782596,3340.516736417152,0.7343170994285172
POUNDMAKER,177.7414774189918,1217.875599397016,0.14594386939601517
CASTLEDOWNS,177.7414774189918,1217.875599397016,0.14594386939601517
NORTHCALDER37S,177.7414774189918,1304.9309038546276,0.1362075776533166
RUTHLAKE848S,0.0,65.96257812538809,0.0
SALTCREEK977S,0.0,65.96257812538809,0.0
DAWES2011S,0.0,127.73563031068143,0.0
BLACKFLY934S,0.0,127.73563031068143,0.0
BIRCHWOODCREEK960S,0.0,226.67949749876357,0.0
THICKWOODHILLS951S,0.0,61.77305218529334,0.0
DOVER888S,0.0,127.73563031068143,0.0
KINOSIS856S,0.0,65.96257812538809,0.0
