bus,Total Capacity,Max Demand,Capacity/Demand
Pasqua,5.0,56.43758848761426,0.0885934380611832
Boundary Dam,10.0,142.1725960267688,0.07033704299889947
Shand,5.0,142.1725960267688,0.03516852149944973
Lloydminster,5.0,162.41081444240518,0.03078612724876841
Brada,5.0,162.41081444240518,0.03078612724876841
Battleford,11.0,420.0913379495849,0.026184781751724926
Meadow Lake,5.0,413.75087400371234,0.012084566617628795
Condie,11.0,1288.6767154532163,0.008535887913619512
Beatty,6.0,827.3389981307389,0.007252166298888596
Regina,5.0,1176.3589568056357,0.0042504033068081
Queen Elizabeth,11.0,3005.1816267438517,0.0036603444870380846
Peebles,5.0,1503.981239818409,0.003324509553459391
Coteau Creek,6.0,2805.0196221552724,0.002139022469792858
Swift Current,0.0,73.60363173101734,0.0
Rushlake Creek,0.0,490.21619106644965,0.0
Assiniboia,0.0,56.43758848761426,0.0
Poplar River,0.0,56.43758848761426,0.0
Kennedy,0.0,142.1725960267688,0.0
EB Campbell,0.0,496.1158740962991,0.0
Codette,0.0,422.32752125524365,0.0
Tantallon,0.0,698.5902831827848,0.0
