bus,Total Capacity,Max Demand,Capacity/Demand
KLY - Kelly Lake,40699.14010503996,187.56071600428774,216.9918145551841
MCA - Mica GS,31426.58056407655,155.4211095417862,202.2027809267908
CKY - Cheekye,17311.788826906493,90.6819813294267,190.90660099294436
SEL - Selkirk,30253.080615080613,190.3020531776097,158.97401057909389
CBK - Cranbrook,23930.990972109073,182.87381613510914,130.86067474213257
GLN - Glenannan,14600.915568764702,114.66414295829016,127.33636856358733
TKW - Telkwa,11911.175619768768,114.66414295829016,103.87881784544919
MSA - Malaspina,8600.109132930886,90.6819813294267,94.8381255774361
PCN - Peace Canyon GS,9363.749489959344,125.69521112553463,74.49567414790017
VAS - Vaseux Lake,32582.40041106435,502.4090393014124,64.85233716409519
GMS - GM Shrum GS,10206.489438955277,158.33104197702602,64.46297145215686
ACK - Ashton Creek,32582.40041106435,510.4696598640281,63.82828005829613
NIC - Nicola,39468.959952027755,802.8123916653811,49.163366636820356
REV - Revelstoke GS,30253.080615080613,698.4630593294472,43.31378762410827
KDY - Kennedy Capacitor Station,10206.48943895528,411.64754103940857,24.794243670650697
SKA - Skeena,6705.7858237850305,360.42229736398576,18.605357861677867
MDN - Meridian,34300.98030905622,4919.4731600233035,6.972490588584436
ING - Ingledow,33761.98030905622,4919.4731600233035,6.862926010738981
WSN - Williston,23014.214956715918,3823.336298963573,6.0194063919918825
CBN - Clayburn,9886.229285943082,4919.4731600233035,2.009611388121945
DMR - Dunsmuir,4778.689642971541,4696.043711273256,1.0175990550300642
