bus,Total Capacity,Max Demand,Capacity/Demand
RADISSON CS,5870.806141718933,14.139594876185987,415.20327796707875
LONG SPRUCE GS,5660.806141718933,14.139594876185987,400.3513672978641
KEEWATINOHK CS,5660.806141718933,14.139594876185987,400.3513672978641
LIMESTONE GS,5373.806141718933,14.139594876185987,380.0537560499373
DORSEY,9676.948110723852,36.68674007767518,263.77236271839047
MYSTERY LAKE,3018.0,14.139594876185987,213.4431733318568
NEEPAWA,9913.215632063255,52.650624034733475,188.28296556415995
LAVERENDRYE,8903.528516668965,47.387778084865595,187.88660022683183
DORSEY CS,5660.806141718933,36.68674007767518,154.3011488546969
RIDGEWAY,8903.528516668963,58.150876793009076,153.1108214990724
ASHERN,9676.94811072385,78.13619566277598,123.84718795995772
RAVEN LAKE,5788.681801132317,52.650624034733475,109.94516982958338
BIRTLE SOUTH,5787.681801132317,52.650624034733475,109.92617670237296
ST LEON GS,8903.528516668965,98.3711364630429,90.50956242651456
ROCKWOOD,9676.948110723852,114.82293574045116,84.27713547228826
PONTON,4487.97265325335,58.150876793009076,77.17807367253482
GRAND RAPIDS GS,9377.208717658523,124.66911221927556,75.2167762385708
OVERFLOWING RIVER,2944.392247308237,43.310488541299264,67.98335337410417
KELSEY TERMINAL,4644.806141718933,72.29047166919506,64.25198279205877
MINITONAS,2734.392247308237,47.387778084865595,57.702478525397034
ROBLIN SOUTH,2724.392247308237,48.50585579251184,56.166254626288215
SILVER,8745.789123603636,159.49481934075226,54.83431474296804
RALLS ISLAND,2283.9726532533496,43.310488541299264,52.7348623896366
VERMILLION,11307.811156088314,218.7393435972229,51.69536933835746
CORNWALLIS,10224.766018046048,223.47940202334814,45.75261042168803
WUSKWATIM GS,2538.0,58.150876793009076,43.64508568003431
BIRCHTREE,2538.0,58.150876793009076,43.64508568003431
STANLEY,7160.476464221968,178.13076125551135,40.1978659595518
PORTAGE SOUTH,9913.215632063253,257.73415069605676,38.46294953653157
GLENBORO SOUTH,8170.163579616257,223.47940202334814,36.55891104793038
VIRDEN WEST,3475.3405973943336,101.1564798272453,34.35608478398525
HENDAY CS,5660.806141718933,223.47940202334814,25.330326152955774
RESTON,5818.268970476911,231.4273091254023,25.140805518868977
JENPEG GS,1101.0,58.150876793009076,18.933506435665002
ST JOSEPH GS,3004.836044820713,178.13076125551135,16.868709388776296
LETELLIER,8208.055933068474,550.352128852578,14.914189484796477
RICHER SOUTH,8208.055933068474,671.4475297874491,12.224418988728404
HERBLET LAKE,1101.0,101.46136533430834,10.851421093854587
CLIFF LAKE,334.0,43.310488541299264,7.711757850099291
RIEL,8903.528516668963,1782.3237333969084,4.99546089738694
ROSSER,9676.948110723852,1983.4033597562684,4.878961237573485
ST VITAL,8903.528516668963,2345.828002417175,3.7954737122647693
RIEL CS,5373.806141718933,1782.3237333969084,3.0150561545163646
