bus,Total Capacity,Max Demand,Capacity/Demand
Ashfield SS,14822.902999999998,64.02000000000001,231.53550452983436
Bruce A TS,9463.033,86.13000000000001,109.86918611401369
Bruce B SS,9463.033,86.13000000000001,109.86918611401369
Bruce JCT,9463.033,86.13000000000001,109.86918611401369
Nanticoke TS,11085.77,106.0,104.5827358490566
Bowmanville SS,17641.9,268.775,65.63817319319134
Nobel SS,7217.7,135.0,53.464444444444446
Clarington JCT,13890.7,268.775,51.681517998325745
Napanee CSS,11425.0,226.0,50.55309734513274
Lennox TS,15268.099999999999,342.0,44.64356725146198
K2 Wind 500 CGS,5629.87,138.02,40.790247790175336
Willow Creek JCT,19952.002999999997,521.5,38.25887440076701
Clarington TS,7367.1,268.775,27.409915356711007
Essa TS,11190.400000000001,463.0,24.169330453563717
Parkway JCT,11809.0,634.695,18.60578703156634
Porcupine TS,5254.4,296.5,17.721416526138277
Parkway TS,6216.900000000001,578.485,10.746864655090452
Parkhill CTS,5581.87,551.12,10.128229786616345
Cherrywood TS,15958.800000000001,1856.685,8.595319076741612
Claireville TS,15482.3,1856.685,8.338678881985905
Evergreen SS,14822.902999999998,1951.335,7.5962881821932156
Milton SS,19860.733,3546.06,5.600788762739492
Middleport TS,12049.57,2266.0,5.317550750220653
Longwood TS,9525.17,1822.5,5.2264307270233195
Hawthorne TS,11425.0,2522.0,4.530134813639968
Hanmer TS,5761.9,1368.0,4.211915204678363
Trafalgar TS,6689.700000000001,3447.5,1.9404496011602612
