bus,Total Capacity,Max Demand,Capacity/Demand
DORSEY,7002.73707115664,36.68674007767518,190.8792401922346
RADISSON CS,2204.0,14.139594876185987,155.8743386426151
LIMESTONE GS,1350.0,14.139594876185987,95.47656858780871
KEEWATINOHK CS,1126.8061417189326,14.139594876185987,79.69154361110502
LONG SPRUCE GS,980.0,14.139594876185987,69.30891645633521
DORSEY CS,1917.0,36.68674007767518,52.253211812802725
BIRTLE SOUTH,2250.1808983995534,52.650624034733475,42.73797204977314
ROCKWOOD,3812.901026335927,114.82293574045116,33.20678923377042
ST LEON GS,3004.836044820713,98.3711364630429,30.545911665355227
KELSEY TERMINAL,2204.0,72.29047166919506,30.488112044497623
VIRDEN WEST,3064.28955382408,101.1564798272453,30.292568099021075
ASHERN,1950.9726532533496,78.13619566277598,24.9688718103637
MYSTERY LAKE,287.0,14.139594876185987,20.297611247926742
STANLEY,3003.836044820713,178.13076125551135,16.863095535262442
GRAND RAPIDS GS,1949.9726532533496,124.66911221927556,15.641185042078586
GLENBORO SOUTH,3161.5754378860415,223.47940202334814,14.147055206258937
RESTON,3064.28955382408,231.4273091254023,13.240829552071789
ROBLIN SOUTH,635.5743246202852,48.50585579251184,13.103043214803003
VERMILLION,2723.392247308237,218.7393435972229,12.450399651573303
CORNWALLIS,2558.4009566830673,223.47940202334814,11.448039208623696
HENDAY CS,2476.806141718933,223.47940202334814,11.082928087753551
OVERFLOWING RIVER,480.0,43.310488541299264,11.082765772597783
PORTAGE SOUTH,2559.4009566830673,257.73415069605676,9.930391256924825
BIRCHTREE,497.0,58.150876793009076,8.546732696208453
RIDGEWAY,452.0,58.150876793009076,7.772883659328412
SILVER,939.3188619118334,159.49481934075226,5.889337759021679
RAVEN LAKE,253.31165050492547,52.650624034733475,4.811180401922995
WUSKWATIM GS,220.0,58.150876793009076,3.7832619580802005
NEEPAWA,158.7393930653282,52.650624034733475,3.0149574857955765
HERBLET LAKE,220.0,101.46136533430834,2.1683130251117246
PONTON,124.0,58.150876793009076,2.132384012736113
JENPEG GS,114.0,58.150876793009076,1.9604175600961038
ROSSER,2537.558324630021,1983.4033597562684,1.2793959998846882
MINITONAS,57.73319053516188,47.387778084865595,1.2183139380742636
RICHER SOUTH,451.0,671.4475297874491,0.6716831621121115
RIEL CS,1126.8061417189326,1782.3237333969084,0.6322118258344498
RIEL,452.0,1782.3237333969084,0.253601515555504
RALLS ISLAND,10.0,43.310488541299264,0.23089095359578715
CLIFF LAKE,10.0,43.310488541299264,0.23089095359578715
LAVERENDRYE,1.0,47.387778084865595,0.021102487612082693
ST VITAL,1.0,2345.828002417175,0.00042628871297025427
LETELLIER,0.0,550.352128852578,0.0
ST JOSEPH GS,0.0,178.13076125551135,0.0
