bus,Total Capacity,Max Demand,Capacity/Demand
BANNERMAN681S,47934.10175136125,87.05530445761164,550.6166689096009
SAGITAWAH77S,21635.50430429161,40.3640553147395,536.0091828134797
BENALTO17S,18262.48393211054,46.5133887555659,392.62854031303425
KEEPHILLS320P,24832.586331331884,65.28456897979208,380.37451605169457
SUNNYBROOK510S,17183.220523881002,46.5133887555659,369.4252554717338
LIVOCK939S,20972.266722583812,61.77305218529334,339.50510749696775
CHERHILL338S,17501.61489705243,65.28456897979208,268.0819552085855
BICKERDIKE39S,15569.511294694648,65.28456897979208,238.4868513034676
AMELIA108S,18531.27059672188,87.05530445761164,212.86779377981495
HEARTLAND12S,54695.97162612665,274.05388208912154,199.58108678912885
LEISMER72S,11128.577270977526,65.96257812538809,168.71046564952695
SUNDANCE310P,22183.12158976561,144.42575485034814,153.59533078259787
BRINTNELL876S,8793.778985180877,61.77305218529334,142.3562325980464
WABASCA720S,8172.9099501227665,61.77305218529334,132.30542544032716
WESLEYCREEK834S,8076.096611954741,61.77305218529334,130.73818317621456
NORTHBARRHEAD69S,13070.417699949376,102.13710750003284,127.96933474883429
LOUISECREEK809S,14055.069501128266,127.41935977235114,110.30560447203008
WABAMUN19S,15569.511294694648,152.33987343740372,102.20246967116027
WHITEFISHLAKE825S,18531.27059672188,186.99857763150987,99.09845749329004
MITSUE732S,8172.9099501227665,87.05530445761164,93.88181456653525
GENESEE330,21750.930927795212,261.56175303180225,83.15791844823201
KETTLERIVER2049S,4283.920056169167,65.96257812538809,64.94470316223654
THICKWOODHILLS951S,3615.624438594781,61.77305218529334,58.530772087307895
HEARTLAKE898S,11128.577270977528,252.96115575689797,43.993225907270805
DEERLAND13S,49823.36387630005,1217.875599397016,40.91006002663011
HEATHFIELD2029S,47756.360273942264,1304.9309038546276,36.59684978942183
MCMILLAN885S,4283.920056169167,127.73563031068143,33.53739317487002
KINOSIS856S,2067.00360235778,65.96257812538809,31.336003854012773
ELLERSLIE89S,56987.06845548753,2173.061659346478,26.224321896427785
DOME,23884.4375961559,1217.875599397016,19.611557705878464
PETROLIA,23787.624257987874,1264.388988152582,18.813533240861528
EASTEDMONTON38S,20767.968854451206,1217.875599397016,17.052619220496464
CLOVERBAR987S,20767.968854451206,1217.875599397016,17.052619220496464
ROUNDHILL852S,4283.920056169167,252.96115575689797,16.93509046221358
DAWES2011S,2067.00360235778,127.73563031068143,16.18188752292816
BIRCHWOODCREEK960S,3615.6244385947807,226.67949749876357,15.95038139086444
NEWELL2075S89S,46522.17329395625,3123.84177426302,14.89261513731175
JASPER805S,17039.78038134754,1217.875599397016,13.991396485637884
LAMOUREUX71S,15895.361104624595,1217.875599397016,13.05171161364475
CROSSINGS511S,46020.39291562739,3545.3864939671957,12.980359967505759
POUNDMAKER,15472.697956526623,1217.875599397016,12.70466208879407
NORTHCALDER37S,15472.697956526623,1304.9309038546276,11.857101330669627
EASTCALGARY5S,37147.43050323014,3340.516736417152,11.120264747744494
BENNETT520S,32274.822753403536,3340.516736417152,9.661625820207586
JOSEPHBURG410S,16642.00847178309,1760.867982937332,9.451025649306366
LANGDON102S,38617.699589883036,5202.972421021547,7.422237994930764
CASTLEDOWNS,7580.434803163344,1217.875599397016,6.2243096149692985
LITTLESMOKY813S,8172.9099501227665,1381.8949716008635,5.914277219385794
SARCEE42S,17747.95503958589,3545.3864939671957,5.005929556561938
BLACKFLY934S,0.0,127.73563031068143,0.0
DOVER888S,0.0,127.73563031068143,0.0
RUTHLAKE848S,0.0,65.96257812538809,0.0
SALTCREEK977S,0.0,65.96257812538809,0.0
