bus,Total Capacity,Max Demand,Capacity/Demand
Ashfield SS,19952.002999999997,64.02000000000001,311.6526554201811
Bruce A TS,19952.003,86.13000000000001,231.64986648090095
Bruce B SS,19952.003,86.13000000000001,231.64986648090095
Bruce JCT,19952.002999999997,86.13000000000001,231.6498664809009
Nanticoke TS,12541.57,106.0,118.31669811320755
K2 Wind 500 CGS,14822.902999999998,138.02,107.3967758295899
Nobel SS,13539.400000000001,135.0,100.29185185185186
Bowmanville SS,19710.0,268.775,73.33271323597805
Clarington JCT,19710.0,268.775,73.33271323597805
Napanee CSS,15268.099999999999,226.0,67.55796460176991
Clarington TS,13890.7,268.775,51.681517998325745
Lennox TS,17641.899999999998,342.0,51.5845029239766
Willow Creek JCT,25220.603000000003,521.5,48.3616548418025
Essa TS,20736.7,463.0,44.787688984881214
Parkway JCT,19632.1,634.695,30.931549799509995
Parkhill CTS,14822.902999999998,551.12,26.895962766729564
Parkway TS,11809.0,578.485,20.41366673293171
Porcupine TS,5761.9,296.5,19.433052276559863
Claireville TS,30439.933,1856.685,16.39477509647571
Cherrywood TS,23383.299999999996,1856.685,12.594112625458813
Middleport TS,25220.603,2266.0,11.13001015004413
Evergreen SS,19952.002999999997,1951.335,10.224796357365596
Longwood TS,18496.202999999998,1822.5,10.148808230452673
Milton SS,28744.603,3546.06,8.106067861231903
Hawthorne TS,15268.100000000002,2522.0,6.053965107057891
Trafalgar TS,19860.733,3447.5,5.760908774474257
Hanmer TS,7217.700000000001,1368.0,5.276096491228071
