bus,Total Capacity,Max Demand,Capacity/Demand
CKY - Cheekye,4239.689642971541,90.6819813294267,46.753385632033414
PCN - Peace Canyon GS,5644.6798979918685,125.69521112553463,44.90767665248917
TKW - Telkwa,5147.906027801293,114.66414295829016,44.89551742146521
ACK - Ashton Creek,22410.431176125334,510.4696598640281,43.90159286272708
GMS - GM Shrum GS,6816.719744979671,158.33104197702602,43.05358987006972
MSA - Malaspina,3277.299744979672,90.6819813294267,36.1405837955172
REV - Revelstoke GS,18899.551278133466,698.4630593294472,27.058770003209332
SEL - Selkirk,5021.839693975607,190.3020531776097,26.3887835686602
CBK - Cranbrook,4226.859795983738,182.87381613510914,23.11353197147091
MCA - Mica GS,3436.8399489959343,155.4211095417862,22.113083345810967
KLY - Kelly Lake,3808.3296429715406,187.56071600428774,20.304516447273958
GLN - Glenannan,2311.359693975606,114.66414295829016,20.157650284940242
SKA - Skeena,4394.426129809424,360.42229736398576,12.192436932866977
NIC - Nicola,7556.909489959344,802.8123916653811,9.413045399415218
KDY - Kennedy Capacitor Station,3790.7197449796718,411.64754103940857,9.208653926143025
VAS - Vaseux Lake,3875.619846987803,502.4090393014124,7.714072685429304
WSN - Williston,7516.749489959344,3823.336298963573,1.9660183939343705
DMR - Dunsmuir,2874.399744979672,4696.043711273256,0.6120896485864109
MDN - Meridian,2760.119693975606,4919.4731600233035,0.5610600168336992
ING - Ingledow,2725.7596939756063,4919.4731600233035,0.5540755290883007
CBN - Clayburn,2192.2397449796717,4919.4731600233035,0.4456249020310311
