date,g628,g636,g637,g644,g640,g629,g632,g633,g641,g635,g643,g630,g639,g631,g646,g627,g634,g642,g638,g645
2018-05-02 02:00:00,44645.393433052894,185.8660162590286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02 03:00:00,44645.39343305288,212.41830429603215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02 04:00:00,44645.39343305288,181.18031837014567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02 05:00:00,32539.211386895142,149.94233244425914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02 06:00:00,20433.02934073741,118.70434651837269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02 07:00:00,21974.078306435826,111.69565348163131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02 08:00:00,24163.81076655481,111.69565348163131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,156.68025628635098,0.0,0.0,0.0
2018-05-02 09:00:00,30213.703626309594,111.69565348163131,0.0,0.0,0.0,1773.0640235366636,144.0092844229149,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,361.4913370016009,0.0,0.0,0.0
2018-05-02 10:00:00,36318.5461384732,111.69565348163131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,368.26911312020445,0.0,0.0,0.0
2018-05-02 11:00:00,36318.5461384732,111.69565348163131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,368.26911312020445,0.0,0.0,0.0
2018-05-02 12:00:00,36318.5461384732,80.45766755574483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,368.26911312020445,0.0,0.0,0.0
2018-05-02 13:00:00,24212.364092315467,49.21968162985834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-02 14:00:00,12106.182046157734,49.21968162985834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-02 15:00:00,0.0,49.21968162985834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-02 16:00:00,0.0,49.21968162985834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-02 17:00:00,0.0,17.981695703971848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-02 18:00:00,0.0,44.53398374097537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-02 19:00:00,0.0,71.08627177797891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-02 20:00:00,0.0,97.63855981498241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-02 21:00:00,0.0,124.19084785198594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-02 22:00:00,0.0,150.74313588898946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-02 23:00:00,3484.3744761165913,177.295423925993,0.0,0.0,0.0,119.30442802228184,144.0092844229149,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
